DATE,NGMP19820
2001/1/1,183.814402
2002/1/1,189.898857
2003/1/1,195.266952
2004/1/1,198.259217
2005/1/1,205.24167
2006/1/1,201.558669
2007/1/1,204.804192
2008/1/1,193.32179
2009/1/1,178.663033
2010/1/1,190.585335
2011/1/1,200.061237
2012/1/1,212.218111
2013/1/1,219.917961
2014/1/1,227.090922
2015/1/1,238.906845
2016/1/1,247.223237
2017/1/1,252.798262
2018/1/1,262.54597
2019/1/1,269.850041
